Therapieart laut UL;Substanzbezeichnung;gültig bis;ATC-Code;ATC-Code gültig bis (WHO-ATC alterations);Änderungsvermerk
HO;Abarelix;;L02BX01;;
IM;Abatacept;;L04AA24;;
ZS;Abemaciclib;;L01XE50;31122020;
ZS;Abemaciclib;;L01EF03;;
IM;Abetimus;;L04AA22;;
HO;Abirateron;;L02BX03;;
ZS;Acalabrutinib;;L01XE51;31122020;
ZS;Acalabrutinib;;L01EL02;;
CH;Aclarubicin;;L01DB04;;
ZS;Adagrasib ;;L01XX77;;Aktualisierung 2024
IM;Adalimumab;;L04AA17;31122007;
IM;Adalimumab;;L04AB04;;
SO;Aderlass;31122023;;;Prozedur (kein Wirkstoff) siehe Liste der Protokolle
ZS;Afatinib;;L01XE13;31122020;
ZS;Afatinib;;L01EB03;;
IM;Afelimomab;;L04AA16;31122007;
IM;Afelimomab;;L04AB03;;
ZS;Aflibercept;;L01XX44;;
IM;Aldesleukin;;L03AC01;;
ZS;Alectinib;;L01XE36;31122020;
ZS;Alectinib;;L01ED03;;
IM;Alefacept;;L04AA15;;
IM;Alemtuzumab;;L04AA34;31122023;
IM;Alemtuzumab;;L04AG06;;
SO;Alendronsäure;;M05BA04;;
ZS;Alisertib;;;;
SO;Alitretinoin;;L01XX22;31122020;
SO;Alitretinoin;;D11AX19;31122011;
SO;Alitretinoin;;L01XF02;;
SZ;Allogene Stammzellen;;;;Korrektur Februar 2024 (ATC-Code gelöscht)
IM;Alnuctanab;;;;Aktualisierung 2024
ZS;Alpelisib;;L01XX65;31122020;
ZS;Alpelisib;;L01EM03;;
CH;Altretamin;;L01XX03;;
IM;Amatuximab;;;;Aktualisierung 2024
SO;Amilomer;;V03AM01;;
HO;Aminoglutethimid;;L02BG01;;
SO;Aminolevulinsäure;;L01XD04;;
IM;Amivantamab;;L01FX18;;Aktualisierung 31.12.2023
CH;Amonafid;;;;
CH;Amrubicin;;L01DB10;;
CH;Amsacrin;;L01XX01;;
CH;Anagrelid;;B01AC14;31122005;
CH;Anagrelid;;L01XX35;;
IM;Anakinra;;L04AA14;31122007;
IM;Anakinra;;L04AC03;;
HO;Anastrozol;;L02BG03;;
IM;Antithymozytäres Immunglobulin;;L04AA04;;"Korrektur 2025: Schreibweise angepasst analog ATC ohne Zusatz ""(Kaninchen)"""
HO;Apalutamid;;L02BB05;;
SO;Arfolitixorin;;;;Aktualisierung 31.12.2023
CH;Arsentrioxid;;L01XX27;;
SO;Artesunat;;P01BE03;;
ZS;Asciminib;;L01EA06;;
CH;Asparaginase;;L01XX02;;
ZS;Asunercept;;;;Aktualisierung 2024
IM;Atezolizumab;;L01FF05;;
SZ;Autologe Stammzellen;;;;Korrektur Februar 2024 (ATC-Code gelöscht)
ZS;Avapritinib;;L01EX18;;
IM;Avelumab;;L01FF04;;
IM;Axicabtagen Ciloleucel;;L01XX70;31122022;
IM;Axicabtagen Ciloleucel;;L01XL03;;
ZS;Axitinib;;L01XE17;31122020;
ZS;Axitinib;;L01EK01;;
CH;Azacitidin;;L01BC07;;
IM;Azathioprin;;L04AX01;;
IM;Balixafortide;;;;Aktualisierung 2024
IM;Basiliximab;;L04AA09;31122007;
IM;Basiliximab;;L04AC02;;
IM;Bavituximab;;;;Aktualisierung 31.12.2023
IM;BCG;;L03AX03;;
IM;Belantamab mafodotin;;L01FX15;;
IM;Belatacept;;L04AA28;;
IM;Belimumab;;L04AA26;31122023;
IM;Belimumab;;L04AG04;;
ZS;Belinostat;;L01XX49;31122020;
ZS;Belinostat;;L01XH04;;
ZS;Belvarafenib;;;;Aktualisierung 31.12.2023
ZS;Belzutifan;;L01XX74;;Aktualisierung 31.12.2023
IM;Bemarituzumab;;;;
ZS;Bemcentinib;;;;
SO;Bempegaldesleukin;;;;Aktualisierung 2024
CH;Bendamustin;;L01AA09;;
IM;Bermekimab;;L01FX11;;Aktualisierung 2025
IM;Bevacizumab;;L01FG01;;
SO;Bexaroten;;L01XX25;31122020;
SO;Bexaroten;;L01XF03;;
HO;Bicalutamid;;L02BB03;;
ZS;Binimetinib;;L01XE41;31122020;
ZS;Binimetinib;;L01EE03;;
CH;Bleomycin;;L01DC01;;
ZS;Bleximenib;;;;Aktualisierung 2025
IM;Blinatumomab;;L01FX07;;
ZS;Bortezomib;;L01XX32;31122020;
ZS;Bortezomib;;L01XG01;;
ZS;Bosutinib;;L01XE14;31122020;
ZS;Bosutinib;;L01EA04;;
IM;Brentuximab vedotin;;L01FX05;;
IM;Brexucabtagen autoleucel;;L01XL06;;Aktualisierung 31.12.2023
IM;Briakinumab;;L04AC09;;
ZS;Brigatinib;;L01XE43;31122020;
ZS;Brigatinib;;L01ED04;;
HO;Bromocriptin;;N04BC01;;
ZS;Buparlisib;;;;Aktualisierung 2024
HO;Buserelin;;L02AE01;;
